Date,EURUSD,AUDUSD
12/11/2018,1.135654,0.719099
12/12/2018,1.132311,0.721293
12/13/2018,1.137346,0.722126
12/14/2018,1.136364,0.722491
12/17/2018,1.130595,0.717566
12/18/2018,1.134984,0.717721
12/19/2018,1.13754,0.718804
12/20/2018,1.138952,0.711389
12/21/2018,1.145685,0.711592
12/24/2018,1.137281,0.70502
12/25/2018,1.140394,0.705219
12/26/2018,1.141553,0.704612
12/27/2018,1.136131,0.707479
12/28/2018,1.143105,0.703532
12/31/2018,1.143995,0.704473
1/1/2019,1.149306,0.704176
1/2/2019,1.146171,0.704791
1/3/2019,1.131811,0.691898
1/4/2019,1.139108,0.700624
1/7/2019,1.141044,0.712378
1/8/2019,1.147974,0.714592
1/9/2019,1.145607,0.716332
1/10/2019,1.155495,0.717566
1/11/2019,1.151013,0.718701
1/14/2019,1.146014,0.720513
1/15/2019,1.147289,0.719942
1/16/2019,1.141683,0.720767
1/17/2019,1.139809,0.717309
1/18/2019,1.139264,0.719031
1/21/2019,1.136557,0.716384
1/22/2019,1.136932,0.715891
1/23/2019,1.136402,0.71221
1/24/2019,1.138822,0.714796
1/25/2019,1.13135,0.709119
1/28/2019,1.141305,0.717942
1/29/2019,1.143001,0.716599
1/30/2019,1.143537,0.715922
1/31/2019,1.148765,0.725468
2/1/2019,1.144951,0.727167
2/4/2019,1.145528,0.7249
2/5/2019,1.143628,0.721402
2/6/2019,1.140993,0.724375
2/7/2019,1.136596,0.710995
2/8/2019,1.133877,0.709542
2/11/2019,1.132426,0.710177
2/12/2019,1.127904,0.706349
2/13/2019,1.133466,0.71048
2/14/2019,1.126494,0.70922
2/15/2019,1.129535,0.710328
2/18/2019,1.129803,0.714541
2/19/2019,1.131196,0.713216
2/20/2019,1.134301,0.716692
2/21/2019,1.134636,0.717
2/22/2019,1.134301,0.710884
2/25/2019,1.134224,0.715922
2/26/2019,1.136751,0.717412
2/27/2019,1.139315,0.719399
2/28/2019,1.138019,0.714847
3/1/2019,1.137346,0.710278
3/4/2019,1.137592,0.710031
3/5/2019,1.133735,0.70922
3/6/2019,1.13071,0.708742
3/7/2019,1.131401,0.703482
3/8/2019,1.119833,0.702346
3/11/2019,1.123242,0.703928
3/12/2019,1.125923,0.707339
3/13/2019,1.128745,0.706414
3/14/2019,1.133106,0.708717
3/15/2019,1.130838,0.706814
3/18/2019,1.131977,0.708291
3/19/2019,1.13362,0.709975
3/20/2019,1.135486,0.708968
3/21/2019,1.142792,0.713521
3/22/2019,1.137501,0.710783
3/25/2019,1.129586,0.708316
3/26/2019,1.13158,0.711612
3/27/2019,1.127485,0.713699
3/28/2019,1.125176,0.708451
3/29/2019,1.123002,0.708316
4/1/2019,1.122385,0.711389
4/2/2019,1.120574,0.71099
4/3/2019,1.120385,0.705841
4/4/2019,1.124695,0.711749
4/5/2019,1.122586,0.711035
4/8/2019,1.121957,0.710177
4/9/2019,1.125644,0.712159
4/10/2019,1.126697,0.712911
4/11/2019,1.12765,0.716692
4/12/2019,1.126075,0.712251
4/15/2019,1.130506,0.717309
4/16/2019,1.130493,0.717618
4/17/2019,1.128503,0.716492
4/18/2019,1.129714,0.717412
4/19/2019,1.123595,0.714796
4/22/2019,1.124455,0.715103
4/23/2019,1.125898,0.713725
4/24/2019,1.122435,0.709668
4/25/2019,1.115349,0.701459
4/26/2019,1.113685,0.701779
4/29/2019,1.115026,0.704429
4/30/2019,1.118518,0.705517
5/1/2019,1.121604,0.705129
5/2/2019,1.120084,0.701459
5/3/2019,1.117356,0.699545
5/6/2019,1.118581,0.697331
5/7/2019,1.120185,0.699252
5/8/2019,1.119107,0.700849
5/9/2019,1.119833,0.699496
5/10/2019,1.122208,0.698709
5/13/2019,1.123646,0.698509
5/14/2019,1.123255,0.694589
5/15/2019,1.120448,0.693914
5/16/2019,1.120724,0.692713
5/17/2019,1.117356,0.689322
5/20/2019,1.116532,0.690322
5/21/2019,1.116857,0.692061
5/22/2019,null,null
5/23/2019,1.115548,0.687758
5/24/2019,1.118456,0.68996
5/27/2019,1.120963,0.693289
5/28/2019,1.119382,0.691994
