Date,UEAH1C 1.23 COMB Curncy,UEAH1C 1.2325 COMB Curncy,UEAH1C 1.235 COMB Curncy,UEAH1C 1.24 COMB Curncy,UEAH1C 1.245 COMB Curncy,UEAH1C 1.25 COMB Curncy,UEAH1C 1.255 COMB Curncy,UEAH1C 1.26 COMB Curncy,UEAH1C 1.265 COMB Curncy,UEAH1C 1.27 COMB Curncy,WASH1C 0.69 Curncy,WASH1C 0.7 Curncy,WASH1C 0.71 Curncy,WASH1C 0.72 Curncy,WASH1C 0.73 Curncy,WASH1C 0.74 Curncy,WASH1C 0.75 Curncy,WASH1C 0.76 Curncy,WASH1C 0.77 Curncy,WASH1C 0.78 Curncy,WASH1C 0.79 Curncy,WASH1C 0.8 Curncy,WASH1C 0.81 Curncy,WASH1C 0.82 Curncy,WASH1C 0.83 Curncy,WASH1C 0.84 Curncy,WASH1P 0.69 Curncy,WASH1P 0.7 Curncy,WASH1P 0.71 Curncy,WASH1P 0.72 Curncy,WASH1P 0.73 Curncy,WASH1P 0.74 Curncy,WASH1P 0.75 Curncy,WASH1P 0.76 Curncy,WASH1P 0.77 Curncy,WASH1P 0.78 Curncy,WASH1P 0.79 Curncy,WASH1P 0.8 Curncy,WASH1P 0.81 Curncy,WASH1P 0.82 Curncy
3/9/2020,0.0189,0.00136487,0.005504217,0.0173,0.004630194,0.0158,0.000813974,0.0146,0.003677067,0.0135,0.007240771,0.0551,0.0259,0.026820258,0.044335247,0.014011793,0.020357087,0.015537818,0.015936768,0.017777006,0.045084525,0.027268731,0.014739257,0.00462652,0.02631468,0.047899265,0.014382668,0.013259875,0.012305498,0.001664889,0.036877746,0.016184913,0.007576127,0.006924988,0.012230451,0.038345172,0.019295953,0.042104897,0.027835733,0.044145823
3/10/2020,0.0144,0.000528204,0.002160779,0.0131,0.008953955,0.012,0.00204368,0.011,0.00211651,0.0102,0.020719419,0.0551,0.026,0.039582518,0.017556424,0.028784706,0.02073682,0.038746907,0.036829056,0.019463025,0.04228641,0.049009841,0.023256721,0.021763563,0.031304779,0.037535597,0.030247497,0.0296185,0.049956821,0.017536448,0.014293129,0.003784732,0.005886594,0.004206607,0.000847098,0.01898092,0.033822947,0.047450849,0.048114883,0.016644472
3/11/2020,0.013,0.001369392,0.005110253,0.0118,0.007316237,0.0107,0.002621964,0.0098,0.003399674,0.009,0.018028275,0.0551,0.0261,0.033906712,0.034666825,0.025595687,0.030184437,0.048283076,0.023433638,0.03198383,0.043299644,0.036156128,0.046254838,0.041183659,0.047725317,0.026357891,0.021442147,0.014832202,0.005061933,0.005421624,0.026477336,0.02176523,0.035737448,0.049364707,0.022071291,0.032662867,0.011129677,0.010476882,0.00925465,0.025010058
3/12/2020,0.0152,6.50915E-07,0.009021405,0.0138,0.003766534,0.0125,0.001237658,0.0114,0.003334389,0.0104,0.061578906,0.0551,0.0262,0.049089591,0.032183475,0.000863129,0.006542553,0.011802159,0.041912898,0.036908897,0.029017717,0.041743061,0.02821385,0.047571455,0.012803889,0.027215709,0.014921605,0.030453761,0.034967485,0.00256816,0.003442202,0.047211956,0.006160623,0.03971241,0.027800686,0.000627517,0.005417675,0.014609045,0.006652473,0.048989442
3/13/2020,0.0122,0.000775599,0.00675311,0.0111,0.004509822,0.0102,0.001602005,0.0093,6.47517E-05,0.0085,0.078731464,0.0551,0.0263,0.045479774,0.024496418,0.015566591,0.006137363,0.026832127,0.028947196,0.0390013,0.030210724,0.029508571,0.005035461,0.000446635,0.004610024,0.047698982,0.006486516,0.011204086,0.022013243,0.018405467,0.010374246,0.002242447,0.017114559,0.048945698,0.0049878,0.019121935,0.030566113,0.025035255,0.031758295,0.024533462
3/16/2020,0.0159,0.00141167,0.005775888,0.0147,7.32461E-05,0.0136,0.000267097,0.0126,0.003706745,0.0117,0.050643058,0.0551,0.0264,0.010295663,0.027086602,0.03977237,0.014951207,0.032616839,0.006914177,0.024495731,0.007924309,0.000306869,0.018509101,0.01423365,0.01473634,0.025964652,0.005236427,0.038546261,0.033348871,0.028394523,0.044853896,0.03651703,0.040890423,0.040884631,0.034543999,0.024106733,0.008366992,0.035524598,0.009989497,0.003752466
3/17/2020,0.0134,0.001397244,0.009956338,0.0124,0.003695253,0.0115,0.000776291,0.0106,0.00268814,0.0099,0.004803392,0.0551,0.0265,0.044245718,0.048928977,0.041681054,0.008367765,0.048989381,0.045725308,0.014502177,0.041813005,0.04987093,0.003153303,0.04372046,0.013806286,0.029346948,0.022333697,0.031796611,0.019440211,0.034036865,0.038135871,0.009645712,0.00371414,0.043770522,0.047818764,0.012848082,0.017809026,0.021921072,0.022484399,0.040142041
3/18/2020,0.0143,0.000450578,0.005308702,0.0133,0.008832172,0.0124,0.000684068,0.0115,0.003860868,0.0107,0.027430531,0.0551,0.0266,0.005202197,0.03687752,0.027355611,0.014112172,0.037824654,0.049081525,0.002366315,0.030864003,0.034245719,0.030692269,0.035509921,0.032251861,0.033444258,0.038083605,0.002175013,0.008066702,0.023267275,0.024092072,0.008354628,0.04348867,0.029334697,0.027310324,0.007413415,0.008265938,0.010605039,0.008054666,0.007967759
3/19/2020,0.0108,0.000296819,0.004278496,0.01,0.006091438,0.0093,0.002517126,0.0086,0.002476997,0.008,0.065968206,0.0551,0.0267,0.017501909,0.026078115,0.021863782,0.012737309,0.032817096,0.000729259,0.029534375,0.001699633,0.032502231,0.043057724,0.043608819,0.005818049,0.046897878,0.029671487,0.007274767,0.025523936,0.019027236,0.044299351,0.049098156,0.023742128,0.007834673,0.041001749,0.049247185,0.002258667,0.030922599,0.014334592,0.010808314
3/20/2020,0.0087,0.001104343,0.006519432,0.008,4.66744E-05,0.0073,0.002851294,0.0067,0.001178962,0.0061,0.039956839,0.0551,0.0268,0.035993541,0.04954958,0.02068604,0.031944313,0.005335617,0.041745115,0.00410617,0.031900806,0.049468749,0.045262265,0.009746367,0.033576421,0.043145223,0.048053869,8.86991E-06,0.042107145,0.042761115,0.034154082,0.013727431,0.04356446,0.023532328,0.034023924,0.008635947,0.044278922,0.002057864,0.025402349,0.030389131
