Date,EURUSD,AUDUSD
12/11/2018,7.7,9.72
12/12/2018,7.71,9.68
12/13/2018,7.51,9.6
12/14/2018,7.57,9.6
12/17/2018,7.55,9.58
12/18/2018,7.6,9.66
12/19/2018,7.56,9.72
12/20/2018,7.63,9.85
12/21/2018,7.61,9.94
12/24/2018,7.67,10.05
12/25/2018,7.7,10.06
12/26/2018,7.72,10.14
12/27/2018,7.72,10.1
12/28/2018,7.71,10.1
12/31/2018,7.68,10.09
1/1/2019,7.68,10.09
1/2/2019,7.77,10.23
1/3/2019,7.79,10.43
1/4/2019,7.52,10.2
1/7/2019,7.4,9.92
1/8/2019,7.41,9.76
1/9/2019,7.38,9.78
1/10/2019,7.34,9.78
1/11/2019,7.33,9.66
1/14/2019,7.34,9.65
1/15/2019,7.41,9.63
1/16/2019,7.39,9.66
1/17/2019,7.34,9.72
1/18/2019,7.34,9.66
1/21/2019,7.31,9.63
1/22/2019,7.32,9.63
1/23/2019,7.28,9.45
1/24/2019,7.26,9.48
1/25/2019,7.09,9.45
1/28/2019,7.11,9.49
1/29/2019,7.12,9.49
1/30/2019,7.1,9.41
1/31/2019,7.03,9.32
2/1/2019,6.95,9.2
2/4/2019,6.94,9.3
2/5/2019,7.01,9.33
2/6/2019,7.07,9.44
2/7/2019,7.18,9.45
2/8/2019,7.23,9.43
2/11/2019,7.26,9.43
2/12/2019,7.13,9.43
2/13/2019,7.11,9.39
2/14/2019,7.2,9.33
2/15/2019,7.2,9.32
2/18/2019,7.18,9.32
2/19/2019,7.07,9.33
2/20/2019,7.03,9.32
2/21/2019,7.03,9.42
2/22/2019,6.96,9.28
2/25/2019,6.87,9.25
2/26/2019,6.84,9.17
2/27/2019,6.89,9.25
2/28/2019,6.91,9.23
3/1/2019,6.86,9.19
3/4/2019,6.91,9.22
3/5/2019,6.91,9.12
3/6/2019,6.96,9.09
3/7/2019,7.09,9.06
3/8/2019,6.99,9.14
3/11/2019,6.87,9.01
3/12/2019,6.82,8.93
3/13/2019,6.78,8.89
3/14/2019,6.67,8.84
3/15/2019,6.55,8.77
3/18/2019,6.42,8.68
3/19/2019,6.41,8.55
3/20/2019,6.41,8.58
3/21/2019,6.59,8.52
3/22/2019,6.51,8.64
3/25/2019,6.51,8.66
3/26/2019,6.55,8.6
3/27/2019,6.74,8.72
3/28/2019,6.84,8.79
3/29/2019,6.57,8.65
4/1/2019,6.45,8.53
4/2/2019,6.48,8.55
4/3/2019,6.47,8.45
4/4/2019,6.47,8.45
4/5/2019,6.36,8.31
4/8/2019,6.34,8.31
4/9/2019,6.34,8.2
4/10/2019,6.3,8.19
4/11/2019,6.01,8.03
4/12/2019,6.07,7.78
4/15/2019,6.1,7.79
4/16/2019,6.07,7.75
4/17/2019,6.08,7.77
4/18/2019,6.07,7.81
4/19/2019,6.09,7.83
4/22/2019,6.08,7.84
4/23/2019,6.13,7.93
4/24/2019,6.39,8.17
4/25/2019,6.44,8.25
4/26/2019,6.41,8.12
4/29/2019,6.38,8.06
4/30/2019,6.32,8.17
5/1/2019,6.33,8.25
5/2/2019,6.28,8.31
5/3/2019,6.3,8.48
5/6/2019,6.36,8.66
5/7/2019,6.36,8.55
5/8/2019,6.37,8.7
5/9/2019,6.41,8.8
5/10/2019,6.28,8.41
5/13/2019,6.36,8.57
5/14/2019,6.28,8.61
5/15/2019,6.32,8.69
5/16/2019,6.32,8.58
5/17/2019,6.3,8.61
5/20/2019,6.29,8.59
5/21/2019,6.17,8.54
5/22/2019,6.16,8.45
5/23/2019,6.26,8.44
5/24/2019,6.28,8.35
5/27/2019,6.26,8.31
5/28/2019,6.2,8.19
5/29/2019,6.2,8.29
5/30/2019,6.12,8.29
5/31/2019,6.24,8.36
